,respid,sample,int_date,fcall,attempt,refusal,lang,cregion,state,usr,scregion,sstate,susr,sdensity,timezone,comp,isex,irace1m1,irace1m2,irace1m3,irace1m4,ihisp1,form,phtype,qs1,q1,q2,q10af1,q10bf1,q14f2,q19,q20,q25,q33af1,q33bf1,q33cf1,q33df1,q33ff2,q33gf2,q33hf2,q33if2,q33jf2,q34f1,q44af1,q44bf1,q44cf1,q44ef1,q44ff1,q44gf1,q44hf2,q44if2,q44jf2,q44kf2,q44lf2,q44mf2,q44nf2,q47,q48f1,q49f2,q50a,q50b,q50c,q50d,q50e,q50ff1,q54f2,q55f1,q56f2,q57f2,q58,q60,q61a,q61b,q61c,q61df1,q61ef1,q61ff2,q61gf2,q61hf2,q61if1,q64,q65a,q65b,q65c,q65d,q65e,q66,q67,q68a,q68b,q68d,q69,q70,q70a,q71,q75,q76f1,q77f2,qi1,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,qf2,born,attend,income,reg,party,partyln,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,weight
980,101189.0,Cell phone,190322.0,190322.0,1.0,No,English,West,UT,S,West,UT,,2.0,Mountain,Complete,Female,White,,,,No,FORM 2,,18 or older,Satisfied,Disapprove,,,Disapprove,Some of the time,Frustrated,Only some of the time,,,,,Not even tempered,Not well informed,Keeps his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,Decrease spending,Keep spending the same,Increase spending,Keep spending the same,Keep spending the same,Increase spending,"No, not keeping promises",,About the right amount,Statement #1,Statement #2,Statement #2,Statement #2,Statement #2,,Good deal,,Good for the U.S. [OR],More important to other NATO member countries [OR],Favor,Never fair game,Some,Some,Some,,,A lot,Some,Some,,Not too fair,Some,Some,Some,Some,Some,Losing influence,Bad thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Approve,Not so strongly,Very well,A little,,Probably done things that are unethical,Several times a day,Male,34.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Yes,Or some other race,Hispanic,Another country,Protestant,,Very important,"No, would not",Once a week,"100 to under $150,000 [OR]",Are you NOT registered to vote at your current address,Republican,,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,6.0,3.0,3 or more,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.5257206
981,101190.0,Cell phone,190322.0,190322.0,1.0,No,English,West,UT,S,West,UT,,4.0,Mountain,Complete,Female,White,,,,No,FORM 1,,18 or older,Dissatisfied,Approve,Disapprove,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Keep spending the same,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,,,,,,,,"No, not keeping promises",A great deal,,Statement #1,(VOL) Neither/Both equally,Statement #2,Statement #1,Statement #1,Statement #2,,"Smaller government, fewer services",,,Oppose,Sometimes fair game [OR IS IT],Some,Some,Some,Some,A lot,,,,Some,Moderately fair,A lot,A lot,A lot,A lot,A lot,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Not so strongly,Not at all well,A little,Probably done things that are illegal,,Several times a day,Female,80.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Mormon,Yes,Very important,"No, would not",Once a week,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,1.0,,1,,,"No, home telephone",No landline,Cellphone,Respondent agrees,0.5553998
982,101193.0,Cell phone,190322.0,190322.0,1.0,No,English,West,CO,U,West,CO,,Lowest,Mountain,Complete,Female,White,,,,Yes,FORM 2,,18 or older,Satisfied,Disapprove,,,Disapprove,Only now and then,Frustrated,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,Increase spending,Decrease spending,Increase spending,Increase spending,Keep spending the same,Increase spending,"No, not keeping promises",,Too little,Statement #2,Statement #1,Statement #2,Statement #2,Statement #1,,Good deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Favor,Never fair game,Only a little,None at all,None at all,,,Some,Only a little,A lot,,Not too fair,Some,Some,A lot,Some,Some,Losing influence,Bad thing,Unfriendly toward religion,Unfriendly toward religion,Neutral toward religion,Should keep out of political matters,Approve,Not so strongly,Not at all well,A lot,,Probably done things that are unethical,Once a day,Female,22.0,Two year associate degree from a college or university,No,White,White non-Hispanic,,Protestant,,Very important,"No, would not",Once a week,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,2.3965427
983,101195.0,Cell phone,190322.0,190322.0,1.0,No,English,West,CO,R,West,CO,,Lowest,Mountain,Complete,Female,White,,,,No,FORM 1,,18 or older,Satisfied,Approve,Disapprove,Disapprove,,Most of the time,Frustrated,Most of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Decrease spending,Increase spending,Increase spending,Increase spending,Decrease spending,Decrease spending,,,,,,,,"Yes, keeping promises",A fair amount,,Statement #1,Statement #2,Statement #2,Statement #1,Statement #2,Statement #2,,"Smaller government, fewer services",,,Strongly oppose,Sometimes fair game [OR IS IT],Only a little,Only a little,None at all,Only a little,None at all,,,,None at all,Moderately fair,A lot,A lot,Not too much,A lot,A lot,Losing influence,Bad thing,Friendly toward religion,Friendly toward religion,Friendly toward religion,Should keep out of political matters,Approve,Very strongly,Not too well,A little,Probably done things that are illegal,,A few times a week,Male,20.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Protestant,,Somewhat important,"No, would not",Once a week,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,3.0,3.0,3 or more,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,2.0275684
984,101198.0,Cell phone,190322.0,190322.0,1.0,No,English,West,ID,,West,ID,,Lowest,Mountain,Complete,Male,White,,,,No,FORM 2,,18 or older,(VOL) Don't know/Refused,Disapprove,,,(VOL) Don't know/Refused,Hardly at all,Basically content,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,Decrease spending,Decrease spending,Increase spending,(VOL) Don't know/Refused,,(VOL) Don't know/Refused,(VOL) Neither/Both equally,Statement #1,Statement #1,Statement #1,Statement #1,,Good deal,,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Never fair game,None at all,None at all,None at all,,,(VOL) Don't know/Refused,None at all,None at all,,Not too fair,A lot,A lot,A lot,A lot,A lot,Losing influence,Bad thing,Neutral toward religion,Neutral toward religion,Neutral toward religion,Should keep out of political matters,(VOL) Don't know/Refused,,Very well,A lot,,Definitely done things that are unethical,Several times a day,Male,60.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Mormon,,Very important,"No, would not",Once a week,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,(VOL) Other/Don't know/Refused,DK/Ref-no lean,Moderate,Ind,,2.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.0079966
985,101203.0,Cell phone,190322.0,190322.0,2.0,No,English,West,ID,R,West,ID,,Lowest,Mountain,Complete,Female,White,,,,Yes,FORM 1,,18 or older,Satisfied,Approve,Approve,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,Too impulsive,Keep spending the same,Increase spending,Keep spending the same,Keep spending the same,Increase spending,Decrease spending,,,,,,,,"No, not keeping promises",A fair amount,,Statement #1,Statement #2,Statement #2,Statement #1,Statement #2,Statement #1,,"Smaller government, fewer services",,,Strongly oppose,Sometimes fair game [OR IS IT],None at all,None at all,A lot,None at all,A lot,,,,A lot,Moderately fair,Not at all,A lot,A lot,Not at all,A lot,Increasing influence,Good thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Somewhat well,A lot,Definitely not done things that are illegal,,Several times a day,Male,29.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",More than once a week,"10 to under $20,000",Are you NOT registered to vote at your current address,Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,1.0,,1,,,"No, home telephone",No landline,Cellphone,Respondent agrees,1.0837154
986,101205.0,Cell phone,190322.0,190322.0,2.0,No,English,Northeast,NY,S,Northeast,NY,,4.0,Eastern,Complete,Female,White,,,,No,FORM 2,,18 or older,Satisfied,Approve,,,Approve,Only now and then,Basically content,Only some of the time,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Increase spending,Decrease spending,Decrease spending,Increase spending,Increase spending,Increase spending,Decrease spending,(VOL) Don't know/Refused,,About the right amount,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Not very much,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Oppose,Never fair game,None at all,Only a little,Only a little,,,Only a little,Only a little,Only a little,,Not too fair,A lot,Not too much,A lot,Not at all,Some,Losing influence,Good thing,Friendly toward religion,Unfriendly toward religion,Neutral toward religion,Should keep out of political matters,(VOL) Don't know/Refused,,Not at all well,A little,,Probably done things that are unethical,Seldom,Male,63.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Catholic,,Not too important,"No, would not",Seldom,"75 to under $100,000",Are you NOT registered to vote at your current address,Independent,Republican,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,1.0,,1,,,"Yes, home telephone",Landline,Cellphone,Respondent agrees,0.7473312
987,101207.0,Cell phone,190322.0,190322.0,2.0,No,English,West,AZ,S,West,NM,,Lowest,Mountain,Complete,Female,White,,,,Yes,FORM 1,,18 or older,Dissatisfied,Disapprove,Disapprove,Approve,,Most of the time,Frustrated,(VOL) Never,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Decrease spending,Increase spending,Increase spending,Increase spending,Increase spending,,,,,,,,"Yes, keeping promises",None at all,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,"Bigger government, more services",,,Favor,Never fair game,A lot,Some,Only a little,A lot,None at all,,,,Only a little,Not too fair,Not too much,Some,A lot,Not at all,A lot,Increasing influence,Bad thing,Neutral toward religion,Friendly toward religion,Friendly toward religion,Should keep out of political matters,Disapprove,Very strongly,Somewhat well,A lot,Definitely done things that are illegal,,Several times a day,Female,(VOL) Don't know/Refused,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,Don't know/Refused (VOL.),Don't know/Refused (VOL.),,Buddhist,,Somewhat important,,Seldom,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,2.0,1.0,1,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.3897229
988,101209.0,Cell phone,190322.0,190322.0,2.0,No,English,Midwest,SD,U,Midwest,SD,,Lowest,Mountain,Complete,Male,Or some other race,,,,Yes,FORM 1,,18 or older,Satisfied,Disapprove,Disapprove,Disapprove,,Most of the time,Frustrated,Most of the time,Not trustworthy,Able to get things done,A strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Decrease spending,Increase spending,Keep spending the same,Keep spending the same,Increase spending,,,,,,,,"Yes, keeping promises",Not too much,,Statement #2,Statement #2,Statement #1,Statement #2,Statement #1,Statement #2,,(VOL) Don't know/Refused,,,Favor,Never fair game,Some,Some,None at all,None at all,None at all,,,,None at all,Not too fair,Not too much,Not too much,Some,Not too much,A lot,Losing influence,Good thing,Neutral toward religion,Unfriendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Not so strongly,Somewhat well,A little,Probably not done things that are illegal [OR],,Seldom,Male,22.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Protestant,,Somewhat important,"No, would not",Once or twice a month,"10 to under $20,000",Are you NOT registered to vote at your current address,Republican,,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,5.0,5.0,3 or more,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.7371905
989,101212.0,Cell phone,190322.0,190322.0,2.0,No,English,West,ID,S,West,ID,,3.0,Mountain,Complete,Male,White,,,,Yes,FORM 1,,18 or older,Dissatisfied,Approve,Approve,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,Too impulsive,Decrease spending,Increase spending,Increase spending,Keep spending the same,Decrease spending,Keep spending the same,,,,,,,,"No, not keeping promises",A fair amount,,Statement #2,Statement #2,Statement #1,Statement #2,Statement #2,Statement #2,,"Smaller government, fewer services",,,Oppose,Sometimes fair game [OR IS IT],Some,Some,A lot,Only a little,A lot,,,,A lot,Moderately fair,Not too much,A lot,Some,Some,Some,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Unfriendly toward religion,Should keep out of political matters,(VOL) Don't know/Refused,,Somewhat well,A lot,Probably not done things that are illegal [OR],,Once a day,Male,52.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.4702439
990,101215.0,Cell phone,190322.0,190322.0,2.0,No,English,Northeast,NY,R,Northeast,NY,,2.0,Eastern,Complete,Female,White,,,,No,FORM 2,,18 or older,Dissatisfied,Disapprove,,,(VOL) Don't know/Refused,Only now and then,Frustrated,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,Increase spending,Keep spending the same,Increase spending,Keep spending the same,Keep spending the same,Increase spending,"Yes, keeping promises",,Too little,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Good deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Oppose,Never fair game,Only a little,Some,Some,,,A lot,None at all,Some,,Not too fair,Some,Some,A lot,Some,A lot,Losing influence,Bad thing,Friendly toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Somewhat well,A lot,,Probably done things that are unethical,Several times a day,Female,60.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Catholic,,Very important,"Yes, would",Seldom,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Conservative,Cons-Mod Dem,Cons-Mod Dem/ln Dem,1.0,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.3677511
991,101217.0,Cell phone,190322.0,190322.0,2.0,No,English,West,NM,R,West,NM,,Lowest,Mountain,Complete,Male,White,,,,No,FORM 1,,18 or older,Dissatisfied,Disapprove,Disapprove,Disapprove,,Most of the time,Angry,Only some of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Keep spending the same,Increase spending,Increase spending,Increase spending,Increase spending,Decrease spending,,,,,,,,"No, not keeping promises",None at all,,(VOL) Don't know/Refused,Statement #2,Statement #2,Statement #1,Statement #1,Statement #2,,"Smaller government, fewer services",,,Strongly favor,Never fair game,Some,Some,Some,A lot,None at all,,,,Some,Not too fair,Some,Some,A lot,Some,Not at all,Losing influence,Good thing,Unfriendly toward religion,Neutral toward religion,Neutral toward religion,(VOL) Don't know/Refused,Disapprove,Very strongly,Not at all well,A lot,Definitely done things that are illegal,,Never,Female,71.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Mixed Race,Other,,Something else,No,Very important,,Never,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,3.0,3.0,3 or more,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.8994189
992,101219.0,Cell phone,190322.0,190322.0,2.0,No,English,Northeast,PA,R,Northeast,PA,,2.0,Eastern,Complete,Male,White,,,,No,FORM 1,,18 or older,Satisfied,Approve,Approve,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,(VOL) Neither particularly,Not a strong leader,Cares about people like me,,,,,,Too impulsive,Decrease spending,Increase spending,Increase spending,Keep spending the same,Increase spending,Decrease spending,,,,,,,,"No, not keeping promises",A great deal,,Statement #2,Statement #1,Statement #1,Statement #2,Statement #1,Statement #2,,"Smaller government, fewer services",,,(VOL) Don't know/Refused,Never fair game,Only a little,Some,A lot,Some,A lot,,,,A lot,Moderately fair,Some,Some,Some,Not at all,A lot,Losing influence,(VOL) Neither,Unfriendly toward religion,Neutral toward religion,Neutral toward religion,Should keep out of political matters,Approve,Not so strongly,Very well,A lot,Definitely not done things that are illegal,,Once a week,Male,34.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Catholic,,Very important,"No, would not",Once or twice a month,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,3.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.617605
993,101220.0,Cell phone,190322.0,190322.0,2.0,No,English,West,UT,U,West,UT,,Lowest,Mountain,Complete,Male,Black or African-American,Or some other race,,,Yes,FORM 1,,18 or older,Satisfied,Approve,Approve,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Decrease spending,Increase spending,Increase spending,Increase spending,Decrease spending,Increase spending,,,,,,,,"No, not keeping promises",A fair amount,,Statement #1,Statement #2,Statement #1,Statement #1,Statement #2,Statement #2,,"Smaller government, fewer services",,,Strongly favor,Never fair game,Only a little,A lot,A lot,None at all,Only a little,,,,Only a little,Moderately fair,Not too much,Not too much,A lot,Not at all,Some,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Friendly toward religion,Should keep out of political matters,Approve,Very strongly,Somewhat well,A little,Definitely not done things that are illegal,,Once a day,Female,25.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Nothing in particular,,Not too important,,Never,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,3.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,2.3965427
994,101224.0,Cell phone,190322.0,190322.0,2.0,No,English,West,MT,U,West,MT,,Lowest,Mountain,Complete,Female,Or some other race,,,,Yes,FORM 1,,18 or older,Dissatisfied,Disapprove,Disapprove,Approve,,Most of the time,Frustrated,Most of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Keep spending the same,Increase spending,Increase spending,Increase spending,Keep spending the same,,,,,,,,"Yes, keeping promises",Not too much,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,"Bigger government, more services",,,Strongly favor,Never fair game,A lot,A lot,Only a little,Some,Only a little,,,,Only a little,Not too fair,Some,A lot,A lot,Not too much,A lot,Increasing influence,Bad thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,Somewhat well,A lot,Probably done things that are illegal,,Seldom,Female,74.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,White,White non-Hispanic,,Protestant,,Not too important,"No, would not",Never,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Moderate,Ind,Cons-Mod Dem/ln Dem,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.4126498
995,101225.0,Cell phone,190322.0,190322.0,2.0,No,English,West,CO,U,West,CO,,2.0,Mountain,Complete,Female,White,Or some other race,,,Yes,FORM 2,,18 or older,Dissatisfied,Disapprove,,,Disapprove,Some of the time,Frustrated,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,(VOL) Don't know/Refused,Not a good manager,,,,,,,,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,(VOL) Don't know/Refused,Increase spending,"No, not keeping promises",,Too much,Statement #1,Statement #2,Statement #1,Statement #1,Statement #2,,Not very much,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Strongly oppose,Never fair game,Some,A lot,Only a little,,,Some,Some,Some,,Not too fair,Not too much,A lot,A lot,Not at all,Not too much,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,Very well,A lot,,Definitely done things that are unethical,Several times a day,Male,55.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Asian or Asian-American,Other,,Protestant,,Very important,"Yes, would",Once or twice a month,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Very conservative,Ind,Cons-Mod Dem/ln Dem,4.0,4.0,3 or more,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.8786769
996,101226.0,Cell phone,190322.0,190322.0,2.0,No,English,West,UT,U,West,UT,,Lowest,Mountain,Complete,Male,White,,,,Yes,FORM 1,,18 or older,Dissatisfied,Disapprove,Disapprove,Approve,,Some of the time,Angry,Only some of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Keep spending the same,Increase spending,Increase spending,Keep spending the same,Increase spending,,,,,,,,"Yes, keeping promises",None at all,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,Statement #2,,"Bigger government, more services",,,Strongly favor,Never fair game,A lot,A lot,None at all,Only a little,None at all,,,,None at all,Moderately fair,Not at all,Some,A lot,Not at all,A lot,Losing influence,Good thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,(VOL) Don't know/Refused,,Not at all well,A little,Definitely done things that are illegal,,Never,Female,38.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Nothing in particular,,Not at all important,,Never,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Very liberal,Lib Dem,Lib Dem/ln Dem,1.0,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,1.2796534
997,101227.0,Cell phone,190322.0,190322.0,2.0,No,English,West,CO,S,West,CO,,2.0,Mountain,Complete,Female,White,,,,No,FORM 2,,18 or older,Satisfied,Approve,,,Disapprove,Some of the time,Basically content,Most of the time,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Decrease spending,Increase spending,Decrease spending,Keep spending the same,Keep spending the same,(VOL) Don't know/Refused,Keep spending the same,"No, not keeping promises",,About the right amount,Statement #2,Statement #1,Statement #1,Statement #2,Statement #2,,Good deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,(VOL) Don't know/Refused,(VOL) Other/Depends,Some,Some,None at all,,,Some,Some,A lot,,Very fair,A lot,Not at all,Not at all,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Increasing influence,Good thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,Somewhat well,A little,,Definitely not done things that are unethical,Several times a day,Male,60.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.9114495
998,101228.0,Cell phone,190322.0,190322.0,2.0,No,English,West,UT,R,West,UT,,Lowest,Mountain,Complete,Female,Black or African-American,,,,No,FORM 1,,18 or older,Satisfied,Approve,Disapprove,Disapprove,,Some of the time,Basically content,(VOL) Never,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Keep spending the same,(VOL) Don't know/Refused,Increase spending,Increase spending,Increase spending,Keep spending the same,,,,,,,,"No, not keeping promises",A fair amount,,Statement #2,Statement #1,Statement #2,Statement #1,Statement #2,Statement #2,,"Smaller government, fewer services",,,Strongly oppose,Never fair game,Some,Some,Some,Some,A lot,,,,Some,Not too fair,Some,Some,Some,A lot,Some,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,Somewhat well,A lot,Probably not done things that are illegal [OR],,Once a week,Male,62.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Mormon,,Very important,"No, would not",A few times a year,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],(VOL) No preference,Republican,Rep/lean Rep,Moderate,DK/Ref to party or ideo,Mod-Lib Rep/ln Rep,1.0,,1,,,"No, home telephone",No landline,Cellphone,(VOL) Respondent does not want the money,0.5762778
999,101229.0,Cell phone,190322.0,190322.0,3.0,No,English,Northeast,PA,S,Northeast,PA,,4.0,Eastern,Complete,Female,White,,,,Yes,FORM 2,,18 or older,Satisfied,Approve,,,Approve,Most of the time,Basically content,Only some of the time,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,Increase spending,Decrease spending,Keep spending the same,Keep spending the same,Decrease spending,Keep spending the same,"Yes, keeping promises",,Too little,Statement #2,Statement #1,Statement #2,Statement #2,Statement #2,,Very great deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Favor,Never fair game,Only a little,None at all,None at all,,,Only a little,Some,Some,,Moderately fair,Not too much,Not too much,Some,A lot,A lot,Losing influence,Good thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Approve,Very strongly,Very well,A lot,,Probably done things that are unethical,Seldom,Male,52.0,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,Don't know/Refused (VOL.),Don't know/Refused (VOL.),,Nothing in particular,,Not at all important,,Seldom,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,2.0,2.0,2,,,"Yes, home telephone",Landline,Cellphone,(VOL) Respondent does not want the money,0.4745081
